EventId,EventTemplate,Occurrences
71fc4c99,<*> de:<*>:ca:b1:ca:<*> S24-FE-cua-Dung,4
4bb6c954,"STRATUM, stratum=<*> interval=<*> offset=<*>.<*>",31
b0db4406,<*> 9e:f6:8d:<*>:<*>:<*>,3
e228edf7,<*> 9e:f6:8d:<*>:<*>:<*> iPhone,1
86f2d34a,<*> 5e:ea:db:dd:ce:<*>,17
e317df3c,<*> 5e:ea:db:dd:ce:<*> iPhone,16
3b84a8de,<*> 0a:<*>:a3:9a:<*>:<*>,4
9aa6f3d1,<*> 1e:<*>:<*>:8d:<*>:<*>,5
e98d2dff,<*> 1e:<*>:<*>:8d:<*>:<*> Le-s-S22-Ultra,5
6e9ea9f7,<*> c6:<*>:<*>:<*>:<*>:c<*>,4
dfe479a8,<*> c6:<*>:<*>:<*>:<*>:c0 iPhone,2
9c44c060,6e:ff:<*>:e0:a6:<*>,7
7968dd5d,<*> 6e:ff:<*>:e0:a6:<*>,23
f466e998,b0:e4:5c:<*>:6f:da,4
111dc36d,<*> b0:e4:5c:<*>:6f:da,9
5d1dcd06,<*> b0:e4:5c:<*>:6f:da Samsung,5
882b1b09,<*> ce:<*>:1e:b0:<*>:<*>,4
7c7e7298,<*> fa:c4:<*>:f3:<*>:d<*>,10
a6b02732,<*> fa:c4:<*>:f3:<*>:d7 iPhone,8
c42e6d41,<*> b2:1a:3f:4c:3e:9e,1
5ded15fa,<*> b2:1a:3f:4c:3e:9e S22-Ultra-cua-Ngoc,1
d9d8bc50,<*> 2a:f2:9c:d0:0f:<*>,20
144f14b3,<*> 2a:f2:9c:d0:0f:<*> iPhone,12
57e57215,16:<*>:a8:e8:<*>:be,5
4912ab01,<*> 8e:2c:e6:0f:3f:<*>,3
ccc4afe9,<*> 8e:2c:e6:0f:3f:<*> iPhone,3
c5467a46,<*> ee:ce:f9:4f:<*>:<*>,5
30409eee,<*> ee:ce:f9:4f:<*>:<*> Phan-s-S24-Ultra,2
8bedd47e,<*> ba:<*>:<*>:a6:<*>:c<*>,13
0a85e6cb,<*> ba:<*>:<*>:a6:<*>:c6 iPad,13
977c7b32,<*> 4c:bb:<*>:ba:a3:d<*>,12
856da202,domain vttek.vn for DHCP host name DS-ANHPT<*>,12
88209579,<*> 4c:bb:<*>:ba:a3:d4 DS-ANHPT<*>,12
c523ee0e,<*> <*>:cd:2d:0c:2d:<*>,4
e7a1b934,<*> <*>:cd:2d:0c:2d:<*> iPhone,4
34a3889b,<*> b6:ab:1a:<*>:4a:ec,146
83c34da8,<*> 3a:<*>:<*>:f3:fa:bd,13
83d3cc76,<*> 3a:<*>:<*>:f3:fa:bd iPhone,9
d9d01975,<*> 0c:6a:c4:2a:<*>:<*>,15
93208a07,<*> 0c:6a:c4:2a:<*>:<*> iPhone,15
74779289,fa:7b:fa:d4:<*>:<*>,5
8fb50751,<*> fa:7b:fa:d4:<*>:<*>,11
cbf254c2,<*> fa:7b:fa:d4:<*>:<*> Redmi-Note-<*>,6
1b28e1e9,<*> <*>:c8:<*>:<*>:<*>:1b,13
894493b4,<*> <*>:c8:<*>:<*>:<*>:1b iQOO-Z9-Turbo,9
f084babf,<*> 2a:5b:ce:fb:<*>:eb,108
eda20fec,a2:5f:<*>:<*>:<*>:<*>,4
5d6eac43,<*> a2:5f:<*>:<*>:<*>:<*>,9
16c83bf8,<*> a2:5f:<*>:<*>:<*>:<*> iPhone,3
9395026b,<*> <*>:9a:2b:bf:a1:a<*>,1
3f408e22,<*> <*>:9a:2b:bf:a1:a1 iPhone,1
